estimated_pickup_latitude,estimated_pickup_longitude,estimated_dropoff_latitude,estimated_dropoff_longitude,pickup_hex8,dropoff_hex8,pickup_centroid_lat,pickup_centroid_lon,dropoff_centroid_lat,dropoff_centroid_lon
23.6957051,90.46601672,23.819731,90.420279,883cf176a9fffff,883cf13b01fffff,23.6988604785004,90.46656529326138,23.819080998586212,90.41684599788942
23.74333441,90.44909975,23.7061844,90.42268444,883cf13923fffff,883cf17639fffff,23.743889768155512,90.450314850114,23.707569439103068,90.42402148974176
23.71295178,90.45575358,23.7063987,90.4120235,883cf176ebfffff,883cf17607fffff,23.713969108835613,90.45796184973791,23.707856519272113,90.41446164400533
23.75305667,90.45286283,23.78283,90.3426367,883cf1393dfffff,883cf10c1bfffff,23.751152315738523,90.45557456807809,23.784189472584718,90.3427493651436
23.6942907,90.48012581,23.74141,90.371233,883cf176a3fffff,883cf10ca5fffff,23.691014228609234,90.48042777386294,23.738912865528654,90.368571929842
23.69800949,90.50919827,23.789943,90.425346,883cf176b3fffff,883cf13949fffff,23.69769503209525,90.5048114096375,23.789183856737147,90.42449751415508
23.71295178,90.45575358,23.7063987,90.4120235,883cf176ebfffff,883cf17607fffff,23.713969108835613,90.45796184973791,23.707856519272113,90.41446164400533
23.7214388,90.3621142,23.733351,90.383646,883cf10d95fffff,883cf1764dfffff,23.716832904005763,90.36236365829487,23.731080182872354,90.38243448248184
23.75810238,90.33625513,23.72934659,90.4064928,883cf10c3bfffff,883cf17655fffff,23.762117527710384,90.33654260117198,23.730224356130343,90.41111421491782
23.84067368,90.42646453,23.793508,90.410939,883cf13b51fffff,883cf13b21fffff,23.841142388800083,90.42306161014068,23.797015608806994,90.41063144219831
23.78578782,90.32807976,23.7586515,90.3997403,883cf10c57fffff,883cf10cbbfffff,23.78475019047541,90.32362992266523,23.760136068747535,90.40346320448253
23.7015085,90.4744217,23.76383396,90.406786,883cf176abfffff,883cf10c97fffff,23.6985700122603,90.47612640950739,23.767398775847976,90.40872125819085
23.88119352,90.45139633,23.79902,90.40347,883cf13a09fffff,883cf13b2dfffff,23.87742680222203,90.44936668967975,23.797300247184094,90.40106909990473
23.69381237,90.48407033,23.6977229,90.45749463,883cf176a3fffff,883cf176e7fffff,23.691014228609234,90.48042777386294,23.69915034789104,90.45700445311505
23.711134,90.446635,23.73370708,90.38245283,883cf176e9fffff,883cf1764dfffff,23.71425817493473,90.44840077732773,23.731080182872354,90.38243448248184
23.6933731,90.4801853,23.7465394,90.4026401,883cf176a3fffff,883cf10cb7fffff,23.691014228609234,90.48042777386294,23.745324069285534,90.4025085649191
23.693572,90.480053,23.76323,90.342876,883cf176a3fffff,883cf10cedfffff,23.691014228609234,90.48042777386294,23.76183625547636,90.34610184166168
23.71188597,90.469804,23.726253,90.422377,883cf1768dfffff,883cf17657fffff,23.713679445588358,90.46752319874398,23.72993788598881,90.42067468476998
23.71638181,90.46265155,23.7289675,90.4123471,883cf176ebfffff,883cf17655fffff,23.713969108835613,90.45796184973791,23.730224356130343,90.41111421491782
23.78656387,90.32925024,23.79134,90.40075,883cf10c19fffff,883cf13b25fffff,23.78447013061005,90.33318950214934,23.78975453851014,90.40537278031883
23.69356771,90.48076057,23.79843619,90.35214782,883cf176a3fffff,883cf10ea3fffff,23.691014228609234,90.48042777386294,23.798714458563694,90.35326159654097
23.75646764,90.45145275,23.705837,90.40946,883cf13907fffff,883cf17605fffff,23.7587028036066,90.45127203519111,23.70814300261903,90.40490207721805
23.73755059,90.3445968,23.73715844,90.36442578,883cf10dd1fffff,883cf10ca5fffff,23.739478429602674,90.34945384673938,23.738912865528654,90.368571929842
23.71094602,90.46919279,23.739016,90.381659,883cf1768dfffff,883cf10ca7fffff,23.713679445588358,90.46752319874398,23.738629187547115,90.37813139390511
23.69820536,90.47025461,23.73177147,90.40604401,883cf176a9fffff,883cf17643fffff,23.6988604785004,90.46656529326138,23.73051022896751,90.40155402423905
23.71051165,90.45331746,23.73943751,90.39642961,883cf176e1fffff,883cf1764bfffff,23.70670461730773,90.4527026954445,23.738060039513314,90.3972511644559
23.75109388,90.45393437,23.74681438,90.39291412,883cf1393dfffff,883cf10cb5fffff,23.751152315738523,90.45557456807809,23.745609136563264,90.39294814480823
23.77829315,90.34588058,23.795767,90.405881,883cf10c13fffff,883cf13b21fffff,23.77664515882059,90.3470535244294,23.797015608806994,90.41063144219831
23.75120436,90.45321118,23.78043563,90.41747276,883cf1393dfffff,883cf1394dfffff,23.751152315738523,90.45557456807809,23.781922670213095,90.41923841308095
23.70937983,90.47126211,23.73161,90.38108,883cf17685fffff,883cf1764dfffff,23.706125084684267,90.47182488445456,23.731080182872354,90.38243448248184
23.83181251,90.35008125,23.78797489,90.41704425,883cf10ed5fffff,883cf13b27fffff,23.835862319881027,90.35086124184315,23.789469496941923,90.41493500769805
23.84231434,90.42992257,23.76730443,90.42731943,883cf13b53fffff,883cf1396bfffff,23.840857173646242,90.43262603857028,23.766826873327872,90.42784474333793
23.7060764,90.45131385,23.750719,90.39059147,883cf176e1fffff,883cf10cbdfffff,23.70670461730773,90.4527026954445,23.753157519825887,90.3886449653357
23.75487336,90.45675036,23.75213107,90.41384179,883cf1393dfffff,883cf13965fffff,23.751152315738523,90.45557456807809,23.752301733648824,90.41732740857326
23.68926878,90.48176564,23.700885,90.433943,883cf176a3fffff,883cf17633fffff,23.691014228609234,90.48042777386294,23.699728296264055,90.43788360320319
23.78318308,90.33733573,23.74332479,90.36023013,883cf10c19fffff,883cf10dd3fffff,23.78447013061005,90.33318950214934,23.73919594620168,90.35901274728019
23.75059705,90.45069795,23.7596715,90.39838146,883cf1392bfffff,883cf10cb9fffff,23.75144056707388,90.4460123617072,23.76042092782806,90.39390227519722
23.76893249,90.34568477,23.7883336,90.42548854,883cf10c17fffff,883cf13949fffff,23.76938159581303,90.34179788775945,23.789183856737147,90.42449751415508
23.69910979,90.3938207,23.8147405,90.4251823,883cf17667fffff,883cf13b03fffff,23.701162724796646,90.39008634658887,23.81879577278778,90.42640952294214
23.68734526,90.47946464,23.732429,90.385358,883cf176a3fffff,883cf1764dfffff,23.691014228609234,90.48042777386294,23.731080182872354,90.38243448248184
23.692554,90.480528,23.82611825,90.36408969,883cf176a3fffff,883cf10e9dfffff,23.691014228609234,90.48042777386294,23.828040176655854,90.3647280201902
23.71088954,90.45107748,23.722864,90.4219968,883cf176e9fffff,883cf1761dfffff,23.71425817493473,90.44840077732773,23.722386557230866,90.42497715465107
23.70755875,90.39272343,23.79793897,90.34058861,883cf17663fffff,883cf10ea1fffff,23.708428889179533,90.39534278989989,23.79899550499394,90.34370094113012
23.72130506,90.36550529,23.7360415,90.41539907,883cf10d91fffff,883cf17651fffff,23.72409883604131,90.3676192205554,23.737488501811153,90.41637205477298
23.69997851,90.49622532,23.79275,90.4155,883cf176b1fffff,883cf13b27fffff,23.69798728909239,90.49524946821614,23.789469496941923,90.41493500769805
23.72988053,90.33508878,23.836446,90.369513,883cf10dc3fffff,883cf10e99fffff,23.732494617334204,90.33464055001744,23.83530007634864,90.36998566487178
23.72294539,90.36702879,23.72695957,90.38617104,883cf10d91fffff,883cf17645fffff,23.72409883604131,90.3676192205554,23.72353046472506,90.38673741136634
23.76604911,90.34291439,23.71502001,90.42533964,883cf10c17fffff,883cf17615fffff,23.76938159581303,90.34179788775945,23.71483451582931,90.42927946437668
